@relation i2p

@attribute avg_payload_len numeric
@attribute max_payload_len numeric
@attribute fragment_ratio numeric
@attribute entopy_len numeric
@attribute variance numeric
@attribute seq_exist numeric
@attribute isI2P {yes,no}

@data
688,1448,0,2.460964,591.271244,1,yes
1058.352941,1448,0.441176,2.110528,776.296795,1,yes
902.666667,1448,0.666667,1.939273,688.725742,1,yes
592,1448,0,1.864381,548.311347,1,yes
984.923077,1448,0.692308,1.863705,729.538272,1,yes
594,1448,0,2.409267,526.722175,1,yes
963.709091,1436,0.6,2.091207,696.076694,1,yes
592,1448,0,2.409267,525.105704,1,yes
1042.8,1448,0.625,1.909099,771.504839,1,yes
1115.054545,2144,0.690909,1.928991,846.525289,1,yes
1057.777778,2144,0.787879,1.63494,770.613851,1,yes
594,1448,0,2.324409,530.915746,1,yes
1030.857143,1448,0.555556,2.075772,755.336689,1,yes
579.555556,1440,0,2.09099,517.920502,1,yes
1002.893617,1448,0.680851,1.940304,737.529811,1,yes
477.714286,784,0,2.306891,403.106769,1,yes
1078.214876,1448,0.53719,2.034494,797.357341,1,yes
592,1448,0,2.324409,529.274754,1,yes
995.037037,1460,0.666667,1.894082,749.391265,1,yes
907.52,1056,0.76,1.693562,686.171182,1,yes
935.741935,1056,0.806452,1.584978,702.994163,1,yes
608,1452,0,2.584963,520.692751,1,yes
886.545455,1448,0.590909,2.09095,686.568549,1,yes
352,464,0,1.35678,313.806735,1,yes
1023.342466,1448,0.657534,1.964933,750.620985,1,yes
602,1448,0,2.409267,533.443765,1,yes
592,1440,0,2.29162,524.396796,1,yes
1001.137485,2144,0.767333,1.680493,735.491689,1,yes
458,976,0,2.5,403.483498,1,yes
592,1448,0,2.245099,532.953198,1,yes
1015.913978,1448,0.569892,1.959325,753.824889,1,yes
594,1448,0,2.409267,526.722175,1,yes
592,1448,0,2.409267,525.105704,1,yes
592,1448,0,2.324409,529.274754,1,yes
594,1448,0,2.324409,530.915746,1,yes
600,1448,0,2.409267,531.725493,1,yes
596,1448,0,2.409267,528.364458,1,yes
978.666667,1448,0.729167,1.83037,727.8239,1,yes
1005.176471,1448,0.588235,2.033693,749.334108,1,yes
1100.131148,1448,0.442623,2.125962,804.982969,1,yes
1065.254054,2144,0.92973,1.29027,771.819282,1,yes
